Pulse_time,I_e,Tau_Syn_Ex,Result
600,6,50.0,0.0
600,6,51.0,0.0
600,6,52.0,0.0
600,6,53.0,0.0
600,6,54.0,0.0
600,6,55.0,0.0
600,6,56.0,0.0
600,6,56.25,0.0
600,6,57.25,0.0
600,6,58.25,0.0
600,6,59.25,0.0
600,6,60.25,0.0
600,6,61.25,0.0
600,6,62.25,0.0
600,6,62.5,0.0
600,6,63.5,0.0
600,6,64.5,0.0
600,6,65.5,0.0
600,6,66.5,0.0
600,6,67.5,0.0
600,6,68.5,0.0
600,6,68.75,0.0
600,6,69.75,0.0
600,6,70.75,0.0
600,6,71.75,0.0
600,6,72.75,0.0
600,6,73.75,0.0
600,6,74.75,0.0
600,6,75.0,0.0
600,6,76.0,0.0
600,6,77.0,0.0
600,6,78.0,0.0
600,6,79.0,0.0
600,6,80.0,0.0
600,6,81.0,0.0
600,6,81.25,0.0
600,6,82.25,-0.671278725756806
600,6,83.25,-0.6815501751474037
600,6,84.25,-0.6879609667536594
600,6,85.25,-0.6922416928572095
600,6,86.25,-0.6957964601769911
600,6,87.25,-0.6990094675203853
600,6,87.5,-0.6997570761798182
600,6,88.5,-0.7020800231113679
600,6,89.5,-0.703921691773509
600,6,90.5,-0.7051122807331087
600,6,91.5,-0.7061023832424923
600,6,92.5,-0.7069974340078311
600,6,93.5,-0.7075505140021269
600,6,93.75,-0.7076929890606316
600,6,94.75,-0.7083491679113382
600,6,95.75,-0.7089613447749742
600,6,96.75,-0.709614403125605
600,6,97.75,-0.7103942149050444
600,6,98.75,-0.7111192814748674
600,6,99.75,-0.7116720400513749
600,7,50.0,0.0
600,7,51.0,0.0
600,7,52.0,0.0
600,7,53.0,0.0
600,7,54.0,0.0
600,7,55.0,0.0
600,7,56.0,0.0
600,7,56.25,0.0
600,7,57.25,0.0
600,7,58.25,0.0
600,7,59.25,0.0
600,7,60.25,0.0
600,7,61.25,0.0
600,7,62.25,0.0
600,7,62.5,0.0
600,7,63.5,0.0
600,7,64.5,0.0
600,7,65.5,0.0
600,7,66.5,0.0
600,7,67.5,0.0
600,7,68.5,0.0
600,7,68.75,0.0
600,7,69.75,0.0
600,7,70.75,0.0
600,7,71.75,0.0
600,7,72.75,0.0
600,7,73.75,0.0
600,7,74.75,0.0
600,7,75.0,0.0
600,7,76.0,0.0
600,7,77.0,0.0
600,7,78.0,0.0
600,7,79.0,0.0
600,7,80.0,0.0
600,7,81.0,0.0
600,7,81.25,-0.6292384783048334
600,7,82.25,-0.6772773947484231
600,7,83.25,-0.6852736688506766
600,7,84.25,-0.690504103165299
600,7,85.25,-0.6945745330692483
600,7,86.25,-0.6981753326930992
600,7,87.25,-0.70101112601022
600,7,87.5,-0.7015681238582719
600,7,88.5,-0.7036664541446287
600,7,89.5,-0.7051834116532957
600,7,90.5,-0.7061887336734421
600,7,91.5,-0.7070858593479554
600,7,92.5,-0.7077577045696068
600,7,93.5,-0.7083904033932753
600,7,93.75,-0.708562950402713
600,7,94.75,-0.7092152335970957
600,7,95.75,-0.7098543996623761
600,7,96.75,-0.7105669379736177
600,7,97.75,-0.7112734590314537
600,7,98.75,-0.7119865942851158
600,7,99.75,-0.712521016455994
600,8,50.0,0.0
600,8,51.0,0.0
600,8,52.0,0.0
600,8,53.0,0.0
600,8,54.0,0.0
600,8,55.0,0.0
600,8,56.0,0.0
600,8,56.25,0.0
600,8,57.25,0.0
600,8,58.25,0.0
600,8,59.25,0.0
600,8,60.25,0.0
600,8,61.25,0.0
600,8,62.25,0.0
600,8,62.5,0.0
600,8,63.5,0.0
600,8,64.5,0.0
600,8,65.5,0.0
600,8,66.5,0.0
600,8,67.5,0.0
600,8,68.5,0.0
600,8,68.75,0.0
600,8,69.75,0.0
600,8,70.75,0.0
600,8,71.75,0.0
600,8,72.75,0.0
600,8,73.75,0.0
600,8,74.75,0.0
600,8,75.0,0.0
600,8,76.0,0.0
600,8,77.0,0.0
600,8,78.0,0.0
600,8,79.0,0.0
600,8,80.0,0.0
600,8,81.0,-0.6650052279487153
600,8,81.25,-0.6709017292618226
600,8,82.25,-0.6819093152375078
600,8,83.25,-0.6887409098197527
600,8,84.25,-0.6932686409012325
600,8,85.25,-0.6969001148105626
600,8,86.25,-0.7001036005743471
600,8,87.25,-0.7025901692532309
600,8,87.5,-0.7032427474326002
600,8,88.5,-0.7050595690294672
600,8,89.5,-0.7062776477289922
600,8,90.5,-0.7072054087146318
600,8,91.5,-0.7080885995329418
600,8,92.5,-0.7086941553454622
600,8,93.5,-0.7092203580995348
600,8,93.75,-0.7094840260231885
600,8,94.75,-0.7100277670380655
600,8,95.75,-0.7107217055146963
600,8,96.75,-0.7114022353208682
600,8,97.75,-0.7121498914020045
600,8,98.75,-0.7127387315238775
600,8,99.75,-0.7132255177148419
600,9,50.0,0.0
600,9,51.0,0.0
600,9,52.0,0.0
600,9,53.0,0.0
600,9,54.0,0.0
600,9,55.0,0.0
600,9,56.0,0.0
600,9,56.25,0.0
600,9,57.25,0.0
600,9,58.25,0.0
600,9,59.25,0.0
600,9,60.25,0.0
600,9,61.25,0.0
600,9,62.25,0.0
600,9,62.5,0.0
600,9,63.5,0.0
600,9,64.5,0.0
600,9,65.5,0.0
600,9,66.5,0.0
600,9,67.5,0.0
600,9,68.5,0.0
600,9,68.75,0.0
600,9,69.75,0.0
600,9,70.75,0.0
600,9,71.75,0.0
600,9,72.75,0.0
600,9,73.75,0.0
600,9,74.75,0.0
600,9,75.0,0.0
600,9,76.0,0.0
600,9,77.0,0.0
600,9,78.0,0.0
600,9,79.0,0.0
600,9,80.0,0.0
600,9,81.0,-0.6747999526981749
600,9,81.25,-0.6778161794856775
600,9,82.25,-0.6859864308075858
600,9,83.25,-0.6916550647991553
600,9,84.25,-0.6957319490673723
600,9,85.25,-0.6992782678428228
600,9,86.25,-0.7020477445917152
600,9,87.25,-0.704250723689517
600,9,87.5,-0.7047244094488189
600,9,88.5,-0.7062828762916878
600,9,89.5,-0.7072781301281768
600,9,90.5,-0.7082047518414049
600,9,91.5,-0.708915135530877
600,9,92.5,-0.7095070422535211
600,9,93.5,-0.7101143730564486
600,9,93.75,-0.7102543615498758
600,9,94.75,-0.7109142992299808
600,9,95.75,-0.7115914036758987
600,9,96.75,-0.7123054792729174
600,9,97.75,-0.7130110360301599
600,9,98.75,-0.7135317198513837
600,9,99.75,-0.7140554732381917
605,6,50.0,0.0
605,6,51.0,0.0
605,6,52.0,0.0
605,6,53.0,0.0
605,6,54.0,0.0
