Pulse_time,I_e,Tau_Syn_Ex,Result
500,0,71.0,0.0
500,0,74.75,0.0
500,0,78.5,0.0
500,0,82.25,0.0
500,0,86.0,0.0
500,0,89.75,0.0
500,0,93.5,0.0
500,0,97.25,0.0
500,1,71.0,0.0
500,1,74.75,0.0
500,1,78.5,0.0
500,1,82.25,0.0
500,1,86.0,0.0
500,1,89.75,0.0
500,1,93.5,0.0
500,1,97.25,0.0
500,2,71.0,0.0
500,2,74.75,0.0
500,2,78.5,0.0
500,2,82.25,0.0
500,2,86.0,0.0
500,2,89.75,0.0
500,2,93.5,0.0
500,2,97.25,0.0
500,3,71.0,0.0
500,3,74.75,0.0
500,3,78.5,0.0
500,3,82.25,0.0
500,3,86.0,0.0
500,3,89.75,0.0
500,3,93.5,0.0
500,3,97.25,0.0
500,4,71.0,0.0
500,4,74.75,0.0
500,4,78.5,0.0
500,4,82.25,0.0
500,4,86.0,0.0
500,4,89.75,0.0
500,4,93.5,0.0
500,4,97.25,0.0
500,5,71.0,0.0
500,5,74.75,0.0
500,5,78.5,0.0
500,5,82.25,0.0
500,5,86.0,0.0
500,5,89.75,0.0
500,5,93.5,0.0
500,5,97.25,0.0
500,6,71.0,0.0
500,6,74.75,0.0
500,6,78.5,0.0
500,6,82.25,0.0
500,6,86.0,0.0
500,6,89.75,0.0
500,6,93.5,0.0
500,6,97.25,0.0
500,7,71.0,0.0
500,7,74.75,0.0
500,7,78.5,0.0
500,7,82.25,0.0
500,7,86.0,0.0
500,7,89.75,0.0
500,7,93.5,0.0
500,7,97.25,0.0
500,8,71.0,0.0
500,8,74.75,0.0
500,8,78.5,0.0
500,8,82.25,0.0
500,8,86.0,0.0
500,8,89.75,0.0
500,8,93.5,0.0
500,8,97.25,0.0
500,9,71.0,0.0
500,9,74.75,0.0
500,9,78.5,0.0
500,9,82.25,0.0
500,9,86.0,0.0
500,9,89.75,0.0
500,9,93.5,0.0
500,9,97.25,0.0
510,0,71.0,0.0
510,0,74.75,0.0
510,0,78.5,0.0
510,0,82.25,0.0
510,0,86.0,0.0
510,0,89.75,0.0
510,0,93.5,0.0
510,0,97.25,0.0
510,1,71.0,0.0
510,1,74.75,0.0
510,1,78.5,0.0
510,1,82.25,0.0
510,1,86.0,0.0
510,1,89.75,0.0
510,1,93.5,0.0
510,1,97.25,0.0
510,2,71.0,0.0
510,2,74.75,0.0
510,2,78.5,0.0
510,2,82.25,0.0
510,2,86.0,0.0
510,2,89.75,0.0
510,2,93.5,0.0
510,2,97.25,0.0
510,3,71.0,0.0
510,3,74.75,0.0
510,3,78.5,0.0
510,3,82.25,0.0
510,3,86.0,0.0
510,3,89.75,0.0
510,3,93.5,0.0
510,3,97.25,0.0
510,4,71.0,0.0
510,4,74.75,0.0
510,4,78.5,0.0
510,4,82.25,0.0
510,4,86.0,0.0
510,4,89.75,0.0
510,4,93.5,0.0
510,4,97.25,0.0
510,5,71.0,0.0
510,5,74.75,0.0
510,5,78.5,0.0
510,5,82.25,0.0
510,5,86.0,0.0
510,5,89.75,0.0
510,5,93.5,0.0
510,5,97.25,0.0
510,6,71.0,0.0
510,6,74.75,0.0
510,6,78.5,0.0
510,6,82.25,0.0
